buildingtype,primarypropertytype,zipcode,councildistrictcode,neighborhood,latitude,longitude,largestpropertyusetype,energystarscore,siteeuikbtu_sf,siteenergyusekbtu,defaultdata,compliancestatus,totalghgemissions,flag_seattle_outlier,numberofbuildings_log,largestpropertyusetypegfa_log,naturalgaskbtu_log,electricitykbtu_log,propertygfatotal_log,thirdlargestpropertyusetypegfa_log,numberoffloors_log,secondlargestpropertyusetypegfa_log,construction_era,energystar_missing,uses_steam,has_parking,building_age,gfa_per_floor,elec_ratio,steam_ratio,primary_usage_dominance,is_multipurpose,is_high_performer,is_low_performer,age_x_size,multipurpose_x_size
NonResidential,Hotel,98101,7,EAST,47.61301,-122.32929,Hotel,63.0,45.5,5328051.5,False,Compliant,256.57,0,0.6931471805599453,11.632280597567725,15.37486412914293,13.257432586982002,11.974625968475259,8.412054873292933,2.1972245773362196,10.645448706505872,Early_Code,1,0,1,25,19834.5,0.10741393922337275,0.0,0.7101010864907106,1,0,0,3.9669,1.58676
NonResidential,Hotel,98101,7,DOWNTOWN,47.61784,-122.32966,Hotel,57.0,85.80000305,11061916.0,False,Compliant,328.63,0,0.6931471805599453,11.76686976543715,15.511348343791118,15.540187294513839,12.054476200865153,0.0,2.3978952727983707,0.0,Modern,0,0,1,15,17186.6,0.507209239339731,0.0,0.7500552756217053,1,0,0,2.57799,1.71866
NonResidential,Hotel,98121,7,DOWNTOWN,47.61558,-122.34186,Hotel,57.0,92.90000153,4456714.5,False,Compliant,128.44,0,0.6931471805599453,10.778852117797637,14.562371950125492,14.668371487178646,11.13328890939415,0.0,1.791759469228055,0.0,Mid_Century,0,0,1,38,13682.0,0.5264750524180986,0.0,0.7015640988159626,1,0,0,2.59958,0.6841
SPS-District K-12,K-12 School,98125,5,NORTH,47.70994,-122.29301,K-12 School,75.0,41.29999924,6779173.0,True,Error - Correct Default Data,270.18,0,0.6931471805599453,12.009023163331607,15.390682645486702,14.482109430195065,11.986958465385595,0.0,1.0986122886681096,0.0,Historic,0,0,0,67,80322.5,0.28729182748397186,0.0,1.0,0,0,0,10.763215,0.0
NonResidential,Small- and Mid-Sized Office,98070,4,LAKE UNION,47.6641,-122.33118,Office,73.0,61.5,4145920.5,False,Compliant,157.77,0,0.6931471805599453,10.61996055839957,14.842654771497621,14.117719601170634,11.376681826100373,8.36822903827628,1.3862943611198906,9.806646201086572,Historic,1,0,0,110,29087.333333333332,0.3263070288009623,0.0,0.46919621370126746,1,0,0,9.59882,0.87262
NonResidential,Hotel,98105,4,NORTHEAST,47.66583,-122.29965,Hotel,29.0,81.5,6668568.5,False,Compliant,215.0,0,0.6931471805599453,11.312912331044872,15.110832069449293,14.919574625310629,11.312912331044872,0.0,1.6094379124341003,0.0,Early_Code,0,0,0,22,20467.75,0.45233081132779845,0.0,1.0,0,0,1,1.801162,0.0
NonResidential,Self-Storage Facility,98105,4,NORTHEAST,47.66172,-122.29598,Self-Storage Facility,73.0,12.10000038,318364.8125,False,Compliant,3.93,0,0.6931471805599453,10.17450656409137,10.521399202410167,12.547056119771545,11.611475844199505,0.0,1.0986122886681096,0.0,Mid_Century,1,0,0,61,55178.0,0.8834676099765265,0.0,0.2376400014498532,1,0,0,6.731716,1.10356
Campus,Mixed Use Property,98108,2,GREATER DUWAMISH,47.53493,-122.31788,Office,8.0,221.6999969,448385312.0,False,Compliant,16870.98,0,0.6931471805599453,13.537155519846507,16.8162532959869,17.85890372530201,13.111981673523193,10.908707421026582,1.3862943611198906,12.577455727980961,Early_Code,0,0,0,24,164945.0,0.3355959238022498,0.0,1.0,0,0,1,11.87604,0.0
NonResidential,Warehouse,98118,2,GREATER DUWAMISH,47.51138,-122.28875,Non-Refrigerated Warehouse,60.0,46.40000153,44731160.0,False,Compliant,311.84,0,1.3862943611198906,13.331003865890963,0.0,17.61618077431612,13.478772686065135,10.908707421026582,1.0986122886681096,12.52815976788113,Mid_Century,1,0,0,55,357047.5,0.9999998435095356,0.0,0.8626303222960531,0,0,0,39.275225,0.0
SPS-District K-12,K-12 School,98199,7,MAGNOLIA / QUEEN ANNE,47.65671,-122.39047,K-12 School,97.0,30.0,1650279.25,False,Compliant,31.47,0,0.6931471805599453,10.914852072639958,12.977779126366432,14.01238405317804,10.914852072639958,0.0,1.0986122886681096,0.0,Early_Code,0,0,0,26,27493.0,0.7378078588820649,0.0,1.0,0,1,0,1.429636,0.0
SPS-District K-12,K-12 School,98115,4,NORTHEAST,47.68252,-122.29498,K-12 School,88.0,35.0,6399127.5,True,Error - Correct Default Data,266.05,0,0.6931471805599453,12.11648704898771,15.384010635835587,14.285317292827584,12.075770319568138,0.0,1.0986122886681096,0.0,Historic,0,0,0,66,87782.5,0.24998470494610397,0.0,1.0,0,1,0,11.58729,0.0
NonResidential,Small- and Mid-Sized Office,98107,6,BALLARD,47.66587,-122.38476,Office,57.0,65.19999695,6186461.5,False,Compliant,130.56,0,0.6931471805599453,10.925704639950524,14.454664486740356,15.27216691955281,11.460589521950299,0.0,1.0986122886681096,10.579361404425617,Mid_Century,0,0,0,55,47450.0,0.6937059254308784,0.0,0.5857323498419389,1,0,0,5.2195,0.949
NonResidential,Small- and Mid-Sized Office,98144,2,GREATER DUWAMISH,47.58034,-122.31132,Office,83.0,50.09999847,2951331.25,False,Compliant,83.86,0,0.6931471805599453,10.840168974058017,14.131476105210044,14.272777164635702,10.869615519257454,0.0,1.0986122886681096,8.968268810776454,Historic,0,0,0,116,26277.0,0.5352665852062523,0.0,0.9709822278037827,0,1,0,6.096264,0.0
NonResidential,K-12 School,98103,6,NORTHWEST,47.68891,-122.33553,K-12 School,95.0,40.0,6994740.5,False,Compliant,247.85,0,0.6931471805599453,12.072632677297742,15.277608345998978,14.801230332855415,12.072632677297742,0.0,1.3862943611198906,0.0,Mid_Century,0,0,0,62,58338.333333333336,0.3831077078556381,0.0,1.0,0,1,0,10.85093,0.0
NonResidential,Self-Storage Facility,98121,7,DOWNTOWN,47.61351,-122.35129,Self-Storage Facility,73.0,30.60000038,2158629.0,False,Compliant,45.43,0,0.6931471805599453,10.556853863084228,13.39756944717738,14.221128987651419,11.164601270548886,8.258422462458876,1.3862943611198906,10.247006332425306,Historic,1,0,0,105,23528.666666666668,0.69499158956912,0.0,0.5445697447085824,1,0,0,7.41153,0.70586
NonResidential,Hotel,98101,7,DOWNTOWN,47.60946,-122.33337,Hotel,67.0,46.40000153,16163194.0,False,Compliant,295.33,0,0.6931471805599453,12.761769335251394,15.191448475778497,16.31730767398401,12.713525588195903,0.0,3.2188758248682006,0.0,Mid_Century,0,0,1,47,13842.083333333334,0.7550739043285628,0.0,1.0,0,0,0,15.61387,0.0
NonResidential,Large Office,98101,7,DOWNTOWN,47.6113,-122.33659,Office,78.0,56.29999924,9536161.0,False,Compliant,66.48,0,0.6931471805599453,11.54600234336302,0.0,16.070601551534008,12.03240949630686,6.202535517187923,1.791759469228055,11.092504067078258,Mid_Century,0,0,0,43,33623.0,0.9999998951359986,0.0,0.6148291348184278,1,0,0,7.228945,1.68115
NonResidential,Other,98101,7,DOWNTOWN,47.61076,-122.33765,Other - Mall,72.0,21.70000076,1247362.0,False,Compliant,33.26,0,0.6931471805599453,10.854141063037792,13.185195443375125,13.479953902071077,10.958304681204567,0.0,1.0986122886681096,8.645058562414134,Historic,1,0,0,96,28714.0,0.5731607985492584,0.0,0.9010761301107474,0,0,0,5.513088,0.0
NonResidential,Small- and Mid-Sized Office,98101,7,DOWNTOWN,47.61048,-122.33794,Office,14.0,85.40000153,5071974.0,False,Compliant,35.36,0,0.6931471805599453,10.461616521417985,0.0,15.439240648903095,10.992066340225865,0.0,2.1972245773362196,8.515992470839718,Historic,0,0,0,106,7425.0,0.9999998028381061,0.0,0.5883333333333334,1,0,1,6.2964,0.594
NonResidential,Mixed Use Property,98101,7,DOWNTOWN,47.60886,-122.33744,Other - Entertainment/Public Assembly,65.5,286.3999939,15026196.0,False,Compliant,584.31,0,0.6931471805599453,10.064798252418377,16.15671406738272,15.348598602457853,10.869520376305097,8.605204068738951,1.0986122886681096,10.064798252418377,Historic,1,0,0,90,26274.5,0.3082921985045317,0.0,0.44720165940360423,1,0,0,4.72941,0.52549
NonResidential,Hotel,98101,7,DOWNTOWN,47.61233,-122.33432,Hotel,71.0,54.59999847,4841347.5,False,Compliant,59.19,0,0.6931471805599453,11.333703100713947,13.220014451539969,15.271811276820383,11.49918144717797,8.517393171418904,3.044522437723423,9.214730720277476,Historic,0,0,1,86,4931.7,0.8861291200435416,0.0,0.8474866678832856,1,0,0,8.482524,0.98634
NonResidential,Hotel,98101,7,DOWNTOWN,47.61087,-122.33339,Hotel,63.0,80.90000153,80469216.0,False,Compliant,2451.58,0,0.6931471805599453,13.707717729119423,16.8162532959869,17.63422304293602,13.809706748397092,0.0,3.5553480614894135,11.67563087707904,Early_Code,0,1,1,34,29241.529411764706,0.5659994127443717,0.1441381757714652,1.0,0,0,0,33.803208,0.0
NonResidential,Hotel,98101,7,DOWNTOWN,47.60997,-122.34138,Hotel,98.0,93.09999847,5348309.0,False,Compliant,134.38,0,0.6931471805599453,10.629610022590025,14.559545225583113,14.9922871758726,11.172559658233004,9.170039075202657,2.0794415416798357,9.527411329321751,Early_Code,0,0,0,31,10164.285714285714,0.606528156843593,0.0,0.5810260014054813,1,1,0,2.20565,0.7115
NonResidential,Hotel,98101,7,DOWNTOWN,47.61155,-122.34114,Hotel,99.0,44.0,5401277.5,False,Compliant,227.18,0,0.6931471805599453,11.389185974808175,15.228377957686774,14.07291021142705,11.718401867230671,8.987321812850125,2.0794415416798357,10.183049243755137,Historic,0,0,0,108,17544.285714285714,0.2394916758118797,0.0,0.7194853839263904,1,1,0,13.26348,1.2281
NonResidential,Hotel,98109,7,LAKE UNION,47.61986,-122.34413,Hotel,86.0,74.80000305,5284343.5,False,Compliant,144.79,0,0.6931471805599453,11.165181945422688,14.6655178872803,14.895511050015818,11.636681736391475,0.0,1.791759469228055,10.658364626228009,Mid_Century,0,0,1,57,22634.6,0.5572461366298387,0.0,0.6240622763379958,1,1,0,6.450861,1.13173
NonResidential,Hotel,98109,7,LAKE UNION,47.62001,-122.34274,Hotel,84.0,60.70000076,6715187.0,False,Compliant,199.95,0,0.6931471805599453,11.585692538521108,15.015197892768946,15.038141216937088,11.921412668610715,0.0,2.0794415416798357,8.006700845440367,Early_Code,0,0,1,16,21493.285714285714,0.5057355811535852,0.0,0.714821239855636,1,1,0,2.407248,1.50453
NonResidential,Hotel,98109,7,LAKE UNION,47.62025,-122.34314,Hotel,80.0,65.90000153,5827595.5,False,Compliant,162.39,0,0.6931471805599453,11.390656130909488,14.785963285564833,14.975047972312618,11.663936936922068,0.0,1.9459101490553132,10.250652418696085,Early_Code,0,0,1,19,19383.333333333332,0.547130802060644,0.0,0.7608770421324161,1,1,0,2.2097,1.163
NonResidential,Hotel,98119,7,MAGNOLIA / QUEEN ANNE,47.62023,-122.35951,Hotel,81.0,43.90000153,6836900.0,False,Compliant,152.76,0,0.6931471805599453,11.955063170746223,14.638792180539534,15.332600259629537,11.955063170746223,0.0,1.9459101490553132,0.0,Early_Code,0,0,1,18,25933.666666666668,0.666813468092264,0.0,1.0,0,1,0,2.800836,0.0
NonResidential,K-12 School,98136,3,EAST,47.63442,-122.30793,K-12 School,76.0,57.70000076,3234787.75,False,Compliant,146.34,0,0.6931471805599453,10.934409692234288,14.802416684322749,13.221064166228208,10.934409692234288,0.0,1.3862943611198906,0.0,Historic,0,0,0,105,18690.666666666668,0.17060377454440404,0.0,1.0,0,0,0,5.88756,0.0
NonResidential,Hotel,98109,7,MAGNOLIA / QUEEN ANNE,47.62519,-122.34456,Hotel,94.0,68.40000153,5337334.0,False,Compliant,171.64,0,0.6931471805599453,11.26513055021489,14.884901704044069,14.700818646415957,11.719476112310662,0.0,1.6094379124341003,10.712014884136146,Early_Code,0,0,1,17,30735.5,0.454108736683895,0.0,0.6348603406484359,1,1,0,2.090014,1.22942
NonResidential,Small- and Mid-Sized Office,98122,3,CENTRAL,47.60823,-122.30956,Office,71.0,61.40000153,3375211.0,False,Compliant,87.98,0,0.6931471805599453,10.914815699745034,14.149824753403047,14.497713568976941,10.914815699745034,0.0,1.0986122886681096,0.0,Mid_Century,0,0,0,54,27492.0,0.5861055797696796,0.0,1.0,0,0,0,2.969136,0.0
NonResidential,Senior Care Community,98126,1,SOUTHWEST,47.55837,-122.37751,Senior Care Community,54.0,144.3999939,42792072.0,False,Compliant,1727.11,0,0.6931471805599453,12.599174981854821,16.8162532959869,16.28570729554068,12.290432176147913,0.0,1.791759469228055,0.0,Historic,0,0,0,94,43520.6,0.27633090540696414,0.0,1.0,0,0,0,20.454682,0.0
NonResidential,Senior Care Community,98133,5,NORTHWEST,47.72426,-122.35599,Senior Care Community,1.0,175.6000061,16402563.0,False,Compliant,609.1,0,0.6931471805599453,11.444625210711436,16.187907586920364,15.55237358258176,11.444625210711436,0.0,1.0986122886681096,0.0,Mid_Century,0,0,0,46,46698.5,0.3462567404862277,0.0,1.0,0,0,1,4.296262,0.0
NonResidential,Hotel,98109,7,LAKE UNION,47.61988,-122.33211,Hotel,74.0,58.5,3706100.25,False,Compliant,67.06,0,0.6931471805599453,11.056777402494934,13.702804238947188,14.849651523236993,11.339809407255666,0.0,1.9459101490553132,9.939481912759504,Modern,0,0,1,8,14017.166666666666,0.7589346780352204,0.0,0.7534927410437202,1,0,0,0.672824,0.84103
NonResidential,Medical Office,98122,3,EAST,47.61244,-122.3214,Medical Office,48.0,93.30000305,16701055.0,False,Compliant,430.84,0,0.0,12.095224880194642,15.734573671755,16.10667923092142,12.095224880194642,0.0,1.3862943611198906,0.0,Mid_Century,0,0,0,51,59671.333333333336,0.5919676331824546,0.0,1.0,0,0,1,9.129714,0.0
NonResidential,Hotel,98104,3,EAST,47.60898,-122.32693,Hotel,71.0,94.69999695,7258758.5,False,Compliant,262.75,0,0.6931471805599453,11.246770023062728,15.341135681558107,14.79411596506266,11.246770023062728,0.0,2.0794415416798357,0.0,Historic,0,0,0,108,10947.285714285714,0.3665560715375777,0.0,1.0,0,0,0,8.276148,0.0
NonResidential,Mixed Use Property,98104,3,EAST,47.60845,-122.32637,Medical Office,65.5,204.5,15473117.0,False,Compliant,481.97,0,0.6931471805599453,10.601000190605713,0.0,16.132522481970565,11.510733063413316,9.742203154807973,1.9459101490553132,9.946020083254831,Early_Code,1,1,1,33,16630.0,0.6556735142634803,0.3443263887941906,0.40262577670875926,1,0,0,3.29274,0.9978
NonResidential,Retail Store,98109,7,LAKE UNION,47.62237,-122.33805,Retail Store,96.0,14.60000038,1049748.625,False,Compliant,39.06,0,0.6931471805599453,11.185434773248893,13.441465625463014,12.798857907714169,10.973717513311941,0.0,1.0986122886681096,0.0,Historic,0,0,0,87,29160.0,0.34465679819299594,0.0,1.0,0,1,0,5.07384,0.0
NonResidential,Large Office,98109,7,LAKE UNION,47.62424,-122.33646,Office,96.0,48.0,13795954.0,False,Compliant,138.85,0,0.6931471805599453,12.475439259302137,13.737399816175559,16.37049442445773,12.664468539937253,9.62509552699144,1.791759469228055,11.923225532468443,Modern,0,0,0,6,63261.2,0.9329612870556107,0.0,0.8277617244061131,1,1,0,1.897836,3.16306
NonResidential,Hotel,98109,3,LAKE UNION,47.62642,-122.33325,Hotel,37.0,82.5,19459304.0,False,Compliant,526.85,0,0.6931471805599453,12.370692616294138,15.953062032868095,16.211645464044132,12.552721495745804,0.0,2.0794415416798357,10.850074678641633,Early_Code,0,0,1,26,40409.0,0.5642880135897974,0.0,0.8335766784627187,1,0,1,7.354438,2.82863
Nonresidential COS,Other,98109,7,MAGNOLIA / QUEEN ANNE,47.62208,-122.35398,Other,72.0,64.30000305,23658978.0,False,Compliant,607.41,0,0.6931471805599453,12.81584093453868,13.442533452942557,16.48406753411857,12.871337193291367,0.0,0.6931471805599453,0.0,Mid_Century,1,1,0,54,389000.0,0.6094576866338013,0.25754071033837556,0.9460154241645244,0,0,0,21.006,0.0
Nonresidential COS,Other,98109,7,MAGNOLIA / QUEEN ANNE,47.62208,-122.35398,Other,72.0,125.1999969,8141155.5,False,Compliant,344.2,0,0.6931471805599453,11.082157933374816,0.0,15.13836339602412,11.420963673053087,0.0,0.6931471805599453,0.0,Mid_Century,1,1,0,54,91213.0,0.4611280302900491,0.5060866359818333,0.7126177189654983,1,0,0,4.925502,0.91213
Nonresidential COS,Other,98109,7,MAGNOLIA / QUEEN ANNE,47.62208,-122.35398,Other,72.0,75.19999695,20955026.0,False,Compliant,804.2,0,0.6931471805599453,12.537176929007302,0.0,15.7968328029629,12.889386638375425,0.0,1.791759469228055,0.0,Historic,1,1,0,78,79217.0,0.3460900024652797,0.46593547533656127,0.7031319035055607,1,0,0,30.89463,3.96085
